Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/2/2007,00:00:00,0.326,0.128,243.150,1.400,0.000,0.000,0
1/2/2007,00:01:00,0.326,0.130,243.320,1.400,0.000,0.000,0
1/2/2007,00:02:00,0.324,0.132,243.510,1.400,0.000,0.000,0
1/2/2007,00:03:00,0.324,0.134,243.900,1.400,0.000,0.000,0
1/2/2007,00:04:00,0.322,0.130,243.160,1.400,0.000,0.000,0
1/2/2007,00:05:00,0.320,0.126,242.290,1.400,0.000,0.000,0
1/2/2007,00:06:00,0.320,0.126,242.460,1.400,0.000,0.000,0
1/2/2007,00:07:00,0.320,0.126,242.630,1.400,0.000,0.000,0
1/2/2007,00:08:00,0.320,0.128,242.700,1.400,0.000,0.000,0
1/2/2007,00:09:00,0.236,0.000,242.890,1.000,0.000,0.000,0
1/2/2007,00:10:00,0.226,0.000,243.000,1.000,0.000,0.000,0
1/2/2007,00:11:00,0.224,0.000,242.500,1.000,0.000,0.000,0
1/2/2007,00:12:00,0.224,0.000,242.180,1.000,0.000,0.000,0
1/2/2007,00:13:00,0.224,0.000,242.150,1.000,0.000,0.000,0
1/2/2007,00:14:00,0.224,0.000,242.730,1.000,0.000,0.000,0
1/2/2007,00:15:00,0.260,0.000,242.850,1.200,0.000,0.000,0
1/2/2007,00:16:00,0.304,0.096,242.890,1.200,0.000,0.000,0
1/2/2007,00:17:00,0.302,0.096,242.870,1.200,0.000,0.000,0
1/2/2007,00:18:00,0.302,0.094,242.190,1.200,0.000,0.000,0
1/2/2007,00:19:00,0.300,0.094,242.230,1.200,0.000,0.000,0
1/2/2007,00:20:00,0.300,0.094,242.160,1.200,0.000,0.000,0
1/2/2007,00:21:00,0.298,0.094,242.290,1.200,0.000,0.000,0
1/2/2007,00:22:00,0.298,0.094,242.470,1.200,0.000,0.000,0
1/2/2007,00:23:00,0.296,0.094,242.320,1.200,0.000,0.000,0
1/2/2007,00:24:00,0.296,0.096,242.980,1.200,0.000,0.000,0
1/2/2007,00:25:00,0.298,0.100,243.650,1.200,0.000,0.000,0
1/2/2007,00:26:00,0.228,0.000,243.550,1.000,0.000,0.000,0
1/2/2007,00:27:00,0.226,0.000,243.110,1.000,0.000,0.000,0
1/2/2007,00:28:00,0.226,0.000,243.090,1.000,0.000,0.000,0
1/2/2007,00:29:00,0.226,0.000,243.050,1.000,0.000,0.000,0
1/2/2007,00:30:00,0.226,0.000,243.220,1.000,0.000,0.000,0
1/2/2007,00:31:00,0.226,0.000,243.370,1.000,0.000,0.000,0
1/2/2007,00:32:00,0.226,0.000,243.140,1.000,0.000,0.000,0
1/2/2007,00:33:00,0.226,0.000,243.120,1.000,0.000,0.000,0
1/2/2007,00:34:00,0.322,0.094,242.740,1.400,0.000,0.000,0
1/2/2007,00:35:00,0.336,0.126,242.590,1.400,0.000,0.000,0
1/2/2007,00:36:00,0.332,0.126,242.910,1.400,0.000,0.000,0
1/2/2007,00:37:00,0.332,0.130,243.510,1.400,0.000,0.000,0
1/2/2007,00:38:00,0.330,0.130,243.650,1.400,0.000,0.000,0
